City,Website,Revenue,Status,Value
Dorchester,https://www.workinc.org/,"$25,000,001 to $100,000,000",Non Profit,0
New York,http://www.bookofmormonbroadway.com,Below $1,Private,0
Newington,http://www.youngpharm.com,"$7,500,001 to $25,000,000",Private,0
Houston,https://www.carbonpathgroup.com/,"$500,001 to $7,500,000",Private,0
Centerville,https://www.facebook.com/barallhq/,"$25,000,001 to $100,000,000",Private,0
St. Cloud,https://www.tohomarine.com/,Undefined,Private,0
Beverly Hills,https://firebirdforensics.org/,Below $1,Private,0
Dallas,http://www.MangoRX.com,Undefined,Private,0
Sanford,http://www.kairosglobal.com,Undefined,Private,0
La Jolla,http://www.elevationca.com,"$25,000,001 to $100,000,000",Private,0
Oklahoma City,https://obi.org/,"$100,000,001 or Above",Private,0
New York,https://www.alblawfirm.com/,"$7,500,001 to $25,000,000",Private,0
Los Angeles,http://www.dead.net,Undefined,Private,0
Richmond,http://www.conflictprogram.org,"$500,001 to $7,500,000",Private,0
Broomfield,https://tomswatchbar.com/,"$7,500,001 to $25,000,000",Private,0
Manalapan,http://www.navicoresolutions.org,"$1 to $500,000",Private,0
North Charleston,https://www.kellerinteriors.com/,"$25,000,001 to $100,000,000",Private,1
Myrtle Creek,http://www.shirtcliffoil.com/,Undefined,Private,0
Los Angeles,http://dennisandleen.com,Undefined,Private,0
South Lake Tahoe,https://tahoeasphalt.com/,Undefined,Private,0
New York,http://www.stellarmanagement.com,Undefined,Other,0
Arlington,http://www.automax4u.com/,"$100,000,001 or Above",Private,0
Monroe Township,http://www.automann.com,"$100,000,001 or Above",Private,1
Alhambra,https://alliedipa.com/,"$100,000,001 or Above",Private,1
Menlo Park,http://www.ropers.com,"$25,000,001 to $100,000,000",Other,0
Nogales,http://www.capin-vyborny.com,"$500,001 to $7,500,000",Private,0
Fishers,https://passivestorageinvesting.com/,"$1 to $500,000",Private,0
Evansville,http://www.regency-prop.com,"$25,000,001 to $100,000,000",Private,0
San Francisco,https://commongoodwater.com/,Undefined,Private,0
Columbus,https://www.foxen.com/,"$500,001 to $7,500,000",Private,0
Boise,https://www.fmridaho.org/,"$25,000,001 to $100,000,000",Non Profit,0
Los Angeles,https://www.thegilbertfoundation.org/,"$25,000,001 to $100,000,000",Non Profit,0
Irvine,https://www.insteppsacademy.org/,"$1 to $500,000",Private,0
Washington,http://www.windwardfund.org,"$100,000,001 or Above",Private,1
Pacific,http://trimarkpropertygroup.com,Undefined,Private,0
Thousand Oaks,http://Tiltify.com,"$500,001 to $7,500,000",Private,0
Scottsdale,https://www.nobilityrcm.com/,Below $1,Private,0
San Francisco,https://digestometx.com,Below $1,Private,0
Irving,http://acep.org,"$25,000,001 to $100,000,000",Private,1
Brooklyn,https://mosheslaw.com/,Undefined,Private,0
Gary,https://www.methodisthospitals.org/,"$100,000,001 or Above",Private,0
Houston,http://peachridgeres.com,"$500,001 to $7,500,000",Private,0
Franklin,https://tabhealth.org/,"$7,500,001 to $25,000,000",Private,0
Tacoma,http://www.actriv.com,Undefined,Private,0
Perham,https://www.arvig.com/,"$100,000,001 or Above",Private,1
Ann Arbor,http://www.enumeramolecular.com,Below $1,Private,0
Teaneck,https://www.jfcsnnj.org/,Undefined,Private,1
Akron,https://www.akronchildrens.org/,"$500,001 to $7,500,000",Non Profit,0
Boise,https://www.rscigroup.com/,"$7,500,001 to $25,000,000",Private,0
Los Angeles,https://audiorama.com/,"$500,001 to $7,500,000",Other,0
Atlanta,http://www.thesfa.net,"$25,000,001 to $100,000,000",Private,1
Tucson,http://www.darksky.org,"$500,001 to $7,500,000",Non Profit,0
Chicago,http://www.conexiom.inc,"$7,500,001 to $25,000,000",Private,0
Henderson,https://jonescontractors.com/,Undefined,Private,1
Chicago,https://provantgroup.com/,"$500,001 to $7,500,000",Private,0
Indianapolis,https://www.damar.org/,"$25,000,001 to $100,000,000",Private,0
Jefferson,https://www.fasttaxweb.com/,Undefined,Private,0
Dallas,https://sunfinity.com/,"$500,001 to $7,500,000",Private,0
Northfield,https://tomorrowswellnesscenter.com/,Undefined,Non Profit,0
Menlo Park,http://www.levita.com,"$1 to $500,000",Private,0
San Diego,https://www.laurelwa.com/,"$7,500,001 to $25,000,000",Private,0
Pacific Palisades,http://aadibio.com,Undefined,Private,0
Bridgeport,http://hqaero.com,"$500,001 to $7,500,000",Private,0
Tiburon,http://www.pacificskin.com,Undefined,Private,0
New York,https://phosphorus.com/,"$7,500,001 to $25,000,000",Private,1
Minneapolis,https://www.qbp.com/,"$100,000,001 or Above",Private,0
Beckley,http://www.laspllc.com/,Undefined,Private,0
Mesa,https://www.persefoni.com/,"$1 to $500,000",Private,0
Plano,http://www.stardentalpartners.com,"$7,500,001 to $25,000,000",Private,0
Atlanta,http://www.elevateatlanta.org,Undefined,Private,0
Brooklyn,https://www.ichiranusa.com/,Undefined,Private,0
Natick,http://www.uwill.com,"$500,001 to $7,500,000",Private,0
Arvada,http://www.lakeside-insurance.com,Undefined,Private,0
New York,https://agmblaw.com/,Undefined,Private,1
Austin,http://www.iconbuild.com,Undefined,Private,0
Torrance,https://proteas-bioanalytics.com,"$1 to $500,000",Private,0
Fort Worth,https://www.tulipsftw.com/,Undefined,Private,0
Philadelphia,https://oasisclubphilly.com/,Undefined,Other,0
Lawrenceville,https://www.newspapers.org/,"$500,001 to $7,500,000",Non Profit,0
Sugar Land,http://upstreaminternational.com/,"$25,000,001 to $100,000,000",Private,0
Austin,http://www.trilogy.com,"$1 to $500,000",Private,0
Mahwah,http://glenmarkpharma-us.com,Below $1,Private,0
New York,https://www.cipriani.com/,"$25,000,001 to $100,000,000",Private,1
Chicago,https://domschicago.com/,"$7,500,001 to $25,000,000",Other,0
Skokie,https://www.stoicheia.ai/,Below $1,Non Profit,0
Irvine,http://www.trusteecorps.com/,"$7,500,001 to $25,000,000",Private,0
Long Beach,http://www.gengirlmedia.com/,"$1 to $500,000",Private,0
Estes Park,https://www.recoveryofchildren.org/,"$1 to $500,000",Private,0
Denison,https://goldstarfinancetexas.com/,Undefined,Private,0
San Francisco,http://Nylas.com,"$500,001 to $7,500,000",Private,1
New York,https://www.corporatesuites.com/,"$500,001 to $7,500,000",Private,0
Boston,https://www.brooklinechamber.com/,"$7,500,001 to $25,000,000",Private,0
Kennewick,https://zintelcreekgolfclub.com/,"$500,001 to $7,500,000",Private,0
New York,http://beginlearning.co,"$7,500,001 to $25,000,000",Private,0
Boca Raton,https://goldenagecaregivers.com/,Undefined,Private,0
Bessemer City,https://www.tosaf.com/,Undefined,Private,0
St Joseph,https://www.rselectric.org/,Undefined,Non Profit,0
Indianapolis,https://opencorporates.com/companies/us,Undefined,Private,0
Plantation,http://carestaffpartners.com,"$7,500,001 to $25,000,000",Private,0
Indianapolis,http://www.marianinc.com,"$1 to $500,000",Private,0
Deer Lodge,https://www.rockcreekcattlecompany.com/,Undefined,Non Profit,0
Summit,http://www.nakitherapetuics.com/,Undefined,Private,0
Valencia,http://www.ihop.com,Undefined,Private,1
Mamaroneck,https://www.hampshireclub.com/,Below $1,Private,0
San Clemente,https://sofwave.com/,Undefined,Other,0
Brooklyn,http://www.heymama.co,Below $1,Private,0
Austin,https://www.johncornyn.com/,"$500,001 to $7,500,000",Non Profit,0
San Francisco,https://streamsets.com/,"$25,000,001 to $100,000,000",Private,0
Irvine,http://www.argentmanagementllc.com,Undefined,Private,0
Austin,http://www.gts-ts.com,"$100,000,001 or Above",Private,0
Northern Cambria,https://tricountytrans.com/,Below $1,Private,0
Huntington Woods,http://www.globalent.org/,"$25,000,001 to $100,000,000",Private,0
San Diego,http://www.smartsafetygroup.com,"$500,001 to $7,500,000",Private,0
Bakersfield,https://www.compass-living.com/senior-living/ca/bakersfield/the-pointe-at-summit-hills/,"$500,001 to $7,500,000",Private,0
Newport Beach,http://www.javiers-cantina.com,Undefined,Other,0
Jupiter,https://cytonics.com/,"$1 to $500,000",Private,0
Morristown,https://www.smilesbymaduro.com/,Undefined,Non Profit,1
Brooklyn,http://www.fisherwallace.com,Below $1,Private,0
Edison,https://www.iricro.com/home,Undefined,Private,1
Honolulu,https://www.princewaikiki.com,"$100,000,001 or Above",Private,1
Edina,https://www.urbanizefarm.com/,Below $1,Private,0
Long Beach,https://www.obagi.com/,"$100,000,001 or Above",Private,0
Wilmette,https://www.investtoelectil.com/,"$1 to $500,000",Private,0
Los Angeles,https://www.spinex.co,Below $1,Private,0
Rockleigh,http://www.trueworldfoods.com/,"$100,000,001 or Above",Private,0
Amityville,http://www.halonetworkinc.com/,Undefined,Non Profit,0
West Mifflin,https://www.century3chevy.com/,Undefined,Non Profit,1
Miami Beach,https://www.comras.co/,Undefined,Private,0
Las Vegas,http://atitraining.edu,Below $1,Private,0
Memphis,http://fmfsloans.com,Undefined,Private,0
Prineville,http://www.deschuteslabs.com,"$500,001 to $7,500,000",Private,0
Savannah,https://www.thekidneydocs.com/,"$7,500,001 to $25,000,000",Non Profit,0
Washington,http://www.culturalvistas.org,"$7,500,001 to $25,000,000",Non Profit,0
Las Vegas,https://www.kaptyn.com/,"$7,500,001 to $25,000,000",Private,0
Costa Mesa,http://www.shareourselves.org,"$7,500,001 to $25,000,000",Non Profit,0
New York,http://www.kaiyo.com,"$7,500,001 to $25,000,000",Other,0
Weston,https://www.racsouthflorida.com/,Below $1,Private,0
Norfolk,http://www.nextstepstosuccess.org,Undefined,Non Profit,0
Audubon,http://primadentsmile.com,Undefined,Non Profit,0
Miramar Beach,https://nbbsc.org/,"$1 to $500,000",Private,0
San Francisco,https://www.jupiter.bio/,"$1 to $500,000",Non Profit,0
Daytona Beach,https://hryc.com/,"$500,001 to $7,500,000",Private,0
Boston,http://www.auduboncp.com,Undefined,Private,0
Purchase,http://www.borrellipartners.com/,Undefined,Private,0
Washington,https://orfamerica.org/,"$500,001 to $7,500,000",Non Profit,0
Washington,http://sfn.org,"$100,000,001 or Above",Private,0
Chicago,https://www.xselltechnologies.com/,"$7,500,001 to $25,000,000",Private,0
Geismar,https://www.sbtmschool.org/,"$500,001 to $7,500,000",Private,0
Bohemia,https://leveragepremier.com/,Undefined,Other,0
Simi Valley,https://www.ameventphotos.com/,Undefined,Private,0
Eden,http://www.powdermountain.com,"$7,500,001 to $25,000,000",Non Profit,0
Greenwich,https://eleganzamoda.business.site/,"$100,000,001 or Above",Private,0
Los Angeles,https://spcala.com/,"$7,500,001 to $25,000,000",Private,0
San Francisco,https://saucelabs.com/,"$25,000,001 to $100,000,000",Private,1
Stamford,http://www.chelseapiersct.com,Undefined,Private,0
Austin,https://www.coaers.org/,Undefined,Non Profit,0
Hicksville,https://blsco.com/,"$7,500,001 to $25,000,000",Private,0
White Sulphur Springs,https://www.greenbrier.com,"$100,000,001 or Above",Private,0
St. Louis,https://curimeta.com/,Below $1,Private,0
Pagosa Springs,https://pagosaspringsmedicalcenter.org/,Undefined,Non Profit,0
Culver City,https://grandsonla.com/,"$7,500,001 to $25,000,000",Private,0
Miami,http://www.wwfins.com,"$500,001 to $7,500,000",Private,1
Austin,http://www.goodworkaustin.org,"$500,001 to $7,500,000",Private,0
Pipersville,http://www.ecobucks.org,Below $1,Other,0
Miami,https://www.femwell.com/,"$25,000,001 to $100,000,000",Private,0
Pewaukee,http://www.galarson.com,"$100,000,001 or Above",Private,1
Whittier,https://skyebioscience.com,Below $1,Private,0
Riverside,http://associatescommgroup.com,Below $1,Private,0
Silver Spring,http://www.neighborworkscapital.org,"$7,500,001 to $25,000,000",Non Profit,0
Holstein,http://www.vtindustries.com,"$100,000,001 or Above",Private,1
Atlanta,https://www.cornerstonesolutionsusa.com/,Undefined,Private,0
Chapel Hill,https://pharmacy.unc.edu/,Below $1,Private,0
Miami,https://www.victus.com/,"$25,000,001 to $100,000,000",Private,0
Wayland,http://www.grandflowergrowers.com/,"$25,000,001 to $100,000,000",Private,0
Santa Maria,https://warrenresorthotels.com/,Undefined,Private,0
San Francisco,https://www.goodcover.com/,"$1 to $500,000",Private,0
York,https://www.logosworks.org/,Below $1,Private,0
Montebello,https://www.altamed.org/,"$100,000,001 or Above",Non Profit,1
Gallatin,https://yappusa.com/,"$100,000,001 or Above",Private,0
Detroit,https://www.facultydiversity.org/,"$7,500,001 to $25,000,000",Private,0
Sublimity,https://www.powerautogroup.com/,Undefined,Private,1
New York,http://www.r3.com/.about/,"$7,500,001 to $25,000,000",Private,0
Rancho Cordova,http://www.cleanenergysystems.com,"$500,001 to $7,500,000",Private,0
Reno,https://www.judges.org/appellate_judges_edu/about-ajei,"$1 to $500,000",Private,0
Milwaukee,http://www.mcw.edu,Undefined,Private,0
Beverly Hills,https://communitycare.com/,Undefined,Private,0
Cedarhurst,https://gourmetglatt.com/,Undefined,Non Profit,0
Woodland Hills,https://www.bankflowonline.com/,"$1 to $500,000",Private,0
Burbank,http://www.leagueofbuddies.com,"$25,000,001 to $100,000,000",Private,0
St. Joseph,http://homesweethomeihc.com,Undefined,Private,0
Arcadia,http://sevenvalleysrestaurant.com,Below $1,Private,0
Culver City,https://www.sabatherapy.com/,Undefined,Private,0
Albuquerque,http://www.mpowertech.com,"$1 to $500,000",Private,0
Baton Rouge,http://www.duckpondtech.com,Below $1,Private,0
Paramus,http://www.epicschool.org,Undefined,Private,0
Sudbury,https://www.christmastreeshops.com,"$100,000,001 or Above",Private,1
Seattle,https://drsnip.com/,"$500,001 to $7,500,000",Private,0
Jacksonville,http://proficientautotransport.com,"$25,000,001 to $100,000,000",Private,0
Buford,https://www.doosanlift.com/,"$100,000,001 or Above",Private,0
Bedminster,https://www.iwfs.org/,Undefined,Non Profit,0
New York,http://www.oncolyze.com,Below $1,Private,0
Atlanta,http://www.soulcommunityplanet.com,"$500,001 to $7,500,000",Private,1
Goleta,https://www.kyocera-sldlaser.com/,Undefined,Private,0
Brattleboro,http://www.cersosimolumber.com/,"$25,000,001 to $100,000,000",Private,0
Jonesboro,http://nitrogen-solutions.com/,Undefined,Private,0
Philadelphia,http://www.phillyforwardpac.org,"$1 to $500,000",Private,0
Baton Rouge,https://manchacgroup.com/,"$7,500,001 to $25,000,000",Private,0
Jackson,https://yarrowgroup.com/,"$500,001 to $7,500,000",Other,0
South Hackensack,https://sanzari.com/,"$500,001 to $7,500,000",Private,0
Wall Township,https://www.kellytitlegroup.com/,Below $1,Private,0
alpine,https://themobsource.com/,Undefined,Private,0
Florida City,http://www.patchesppec.org,"$500,001 to $7,500,000",Private,0
Long Island City,https://www.evansdplaw.com/,"$7,500,001 to $25,000,000",Non Profit,0
Commerce Charter Township,http://www.askarrestaurantgroup.com,Undefined,Private,0
Beachwood,https://edgepoint.com/,Undefined,Private,0
Fort Myers,https://pendella.com/,"$500,001 to $7,500,000",Private,0
Arlington,http://rysehealth.com,Below $1,Private,0
La Cañada Flintridge,https://www.allenlund.com/,"$100,000,001 or Above",Private,0
New Orleans,http://www.noffpf.com,"$7,500,001 to $25,000,000",Other,0
Indianapolis,https://www.rayskillmanbuickgmc.com/,"$500,001 to $7,500,000",Private,0
Jersey City,http://www.homeessentials.com/,Undefined,Private,1
Beaverton,http://www.steamchaincorp.com,"$1 to $500,000",Private,0
Los Angeles,https://matfar.com/,"$500,001 to $7,500,000",Private,0
Suffern,https://skyviewrehab.com/,Undefined,Private,0
Sandy,http://beansandbrewsfranchising.com,"$7,500,001 to $25,000,000",Private,0
Teaneck,http://carida.com,"$7,500,001 to $25,000,000",Private,0
Honolulu,https://www.stfrancishawaii.org/,"$25,000,001 to $100,000,000",Private,1
Lakewood,http://idealinsurance.com/,"$7,500,001 to $25,000,000",Private,0
Tulsa,http://www.summittulsa.com,Undefined,Private,0
Englewood,https://elexr.com/,Below $1,Private,0
Sun Prairie,http://www.trachte.com,"$100,000,001 or Above",Private,0
Reno,https://www.sierraneurosurgery.com/,"$7,500,001 to $25,000,000",Non Profit,0
Newton,https://abpbesthomecare.com/,Undefined,Private,0
Albert Lea,http://www.stjohnsofalbertlea.org,"$7,500,001 to $25,000,000",Private,0
Nashua,http://www.therivercasino.com,"$500,001 to $7,500,000",Private,0
Washington,https://worldcitizengov.org/,"$1 to $500,000",Other,0
Albany,https://www.visitingangels.com/albanyor/home,"$500,001 to $7,500,000",Private,0
Portland,http://routeware.com,"$25,000,001 to $100,000,000",Private,0
Chicago,http://insuranceallies.com,Undefined,Private,0
Mahwah,http://www.lifestarpharma.com,"$7,500,001 to $25,000,000",Private,0
Jacksonville Beach,https://elderlyhousingmanagement.com/pablo-hamlet/,"$500,001 to $7,500,000",Private,0
Newport Beach,http://www.liquidlung.bio,Below $1,Private,0
Fort Smith,https://cp-ins.com/,Below $1,Private,0
Tampa,https://www.ligorilaw.com/,Undefined,Private,0
Baltimore,https://www.starktruss.com/,"$100,000,001 or Above",Non Profit,0
Los Angeles,https://www.nrgmr.com/,"$7,500,001 to $25,000,000",Non Profit,0
Tulsa,https://trinityemployment.com/,"$1 to $500,000",Private,0
Kansas City,https://brushkc.com/,Below $1,Private,0
Acworth,https://www.bentwatergolf.com/,Undefined,Private,0
Omaha,https://www.cathmed.org/,Undefined,Private,0
Annapolis,https://www.mdauto.org/,"$500,001 to $7,500,000",Non Profit,0
Wayzata,http://www.ncell.com,"$500,001 to $7,500,000",Private,0
Chicago,https://tyson20.com/,"$1 to $500,000",Private,0
Lexington,http://www.rgcmlaw.com,"$500,001 to $7,500,000",Private,0
New York,https://cccnewyork.org/,"$500,001 to $7,500,000",Private,0
Berkeley,https://evoshare.com/index,"$1 to $500,000",Private,0
Spicewood,http://www.wowsc.org,"$500,001 to $7,500,000",Private,0
Burlington,http://www.alllearnersnetwork.com,"$500,001 to $7,500,000",Private,0
City of Industry,https://classicdist.com/,"$100,000,001 or Above",Private,0
San Antonio,https://justicetechassociation.org/,Undefined,Private,0
Denver,https://www.theballantynehotel.com/the-spa-at-ballantyne/,"$25,000,001 to $100,000,000",Private,1
Southborough,https://www.necc.org/,"$100,000,001 or Above",Private,0
New York,http://www.childmind.org,"$25,000,001 to $100,000,000",Private,0
Pikesville,https://mdperioimplantcenter.com/,"$500,001 to $7,500,000",Private,0
Novato,https://www.headlandventures.com/,Undefined,Private,0
Rochester,http://www.harvardrealty.com,Undefined,Private,0
Austin,http://www.tractuscorp.com,Below $1,Private,0
Houston,https://www.gsminsurors.com/houston/,"$500,001 to $7,500,000",Private,0
Atlanta,http://www.neuravest.net,"$500,001 to $7,500,000",Private,0
San Jose,https://maps.org/,"$7,500,001 to $25,000,000",Private,0
Somerville,https://osmoses.com/,"$1 to $500,000",Private,0
Waltham,http://mass-ala.org,"$500,001 to $7,500,000",Private,0
Denver,http://www.cobaltadvocates.org,"$500,001 to $7,500,000",Private,0
Staten Island,http://simd.com/,Below $1,Private,0
Gaston,http://www.stiersupply.com,Undefined,Private,0
Midland,https://ranchlandhills.com/,"$500,001 to $7,500,000",Private,0
La Quinta,http://www.theplantationgc.com,"$500,001 to $7,500,000",Private,0
Morrisville,https://www.clinipace.com/,"$100,000,001 or Above",Private,0
Orlando,https://www.dignitastech.com/,"$25,000,001 to $100,000,000",Private,0
Las Vegas,https://www.aosmlv.com/,"$7,500,001 to $25,000,000",Non Profit,0
Williamsburg,https://nhghotels.com/,Undefined,Private,0
West Jordan,https://snugzusa.com/,"$25,000,001 to $100,000,000",Private,0
Girard,http://www.aimntls.com,"$100,000,001 or Above",Private,0
Philadelphia,https://starr-restaurants.com,"$100,000,001 or Above",Other,0
Livingston,https://www.eanj.org/,"$500,001 to $7,500,000",Other,0
Irvine,http://www.pacifichospitality.com,"$100,000,001 or Above",Private,0
Philadelphia,https://www.seniorhelpers.com/pa/philadelphia-chestnut-hill/,Undefined,Non Profit,0
Houston,http://www.stemcellreserve.com,"$1 to $500,000",Private,0
Brooklyn,http://www.scclive.org,"$7,500,001 to $25,000,000",Non Profit,0
Pinckney,https://www.ncrcnahro.org/,"$1 to $500,000",Private,0
Miami,http://www.eMed.com,"$25,000,001 to $100,000,000",Private,0
Everglades City,http://www.evergladesisle.com/,Below $1,Non Profit,0
Bonita Springs,http://fetchvets.com,Undefined,Private,1
Wyomissing,https://www.centralpateamsters.com/,Undefined,Other,0
Mountain Lakes,https://www.visionrep.com/,"$7,500,001 to $25,000,000",Non Profit,0
San Diego,http://www.culaholding.com,Undefined,Private,0
New York,https://www.vitalneuro.com/,"$1 to $500,000",Private,0
Irvine,https://www.kida.com/,Undefined,Non Profit,0
Scottsdale,http://www.ffec.com,"$25,000,001 to $100,000,000",Private,0
Houston,https://pacemissions.org/,Undefined,Private,0
Midlothian,http://www.atlanticstrategicminerals.com,Below $1,Private,0
Anaheim,https://www.xzilon.com/,"$7,500,001 to $25,000,000",Private,0
Estero,https://villagesatcountrycreek.org/,"$500,001 to $7,500,000",Private,0
Northampton,https://www.tommycarauto.com/,"$100,000,001 or Above",Private,0
Georgetown,https://sportclips.com/,"$25,000,001 to $100,000,000",Private,0
Little Rock,https://www.rmlauto.com/,"$100,000,001 or Above",Private,0
New York,https://www.rovetravel.com/,"$500,001 to $7,500,000",Private,0
Pasadena,http://www.oyo.com/,"$25,000,001 to $100,000,000",Private,0
Encinitas,https://9am.health/,Undefined,Private,0
Minneapolis,http://www.hirshfield.com,"$25,000,001 to $100,000,000",Private,0
Paramus,http://www.alexsummer.com/,"$500,001 to $7,500,000",Private,0
Delray Beach,http://www.imigroup.com,"$500,001 to $7,500,000",Private,0
Irvine,https://www.stjohnknits.com/,"$1 to $500,000",Private,1
Alpharetta,https://www.verciaservicesgroup.com/,Undefined,Private,0
Louisville,https://www.topco.com/,"$100,000,001 or Above",Private,0
Athens,http://breadforlifeathens.org/,"$1 to $500,000",Private,0
Lake Wales,http://www.oakleytransport.com,"$100,000,001 or Above",Private,1
Lubbock,https://workforcesouthplains.org/,"$7,500,001 to $25,000,000",Other,0
Indianapolis,http://flco.com,"$25,000,001 to $100,000,000",Other,0
Washington,https://www.usra.edu/,"$25,000,001 to $100,000,000",Private,0
Brooklyn,https://peterluger.com/,"$25,000,001 to $100,000,000",Private,0
Plymouth Meeting,http://www.intraventmedical.com,Below $1,Non Profit,0
Bayside,https://www.solomonus.com/,"$7,500,001 to $25,000,000",Private,0
New York,https://www.universityclubny.org/,Below $1,Private,0
New York,https://friedlandproperties.com/,"$7,500,001 to $25,000,000",Private,0
Springfield,https://evergreentgn.com/,"$500,001 to $7,500,000",Private,0
Oklahoma City,https://www.burnbyrockypatel.com/oklahoma,"$500,001 to $7,500,000",Non Profit,0
Washington,https://www.caribou.com/,"$25,000,001 to $100,000,000",Private,0
Summit,http://www.mwreinc.com/,"$500,001 to $7,500,000",Private,0
Natick,https://modextherapeutics.com/,Below $1,Non Profit,0
San Diego,http://www.elementbiosciences.com,Below $1,Private,0
Savannah,https://davlong.com,"$7,500,001 to $25,000,000",Private,0
Menomonee Falls,https://www.staffelectric.com/,"$100,000,001 or Above",Private,0
Natick,https://www.exploremars.org/,"$1 to $500,000",Non Profit,0
Waltham,https://www.cambridgenetwork.com/,"$7,500,001 to $25,000,000",Private,0
Secaucus,https://www.gtsholdings.net/,"$25,000,001 to $100,000,000",Private,0
Glen Allen,https://www.kline.com/,"$7,500,001 to $25,000,000",Private,0
Greensburg,https://mountainviewsenior.com/,Below $1,Non Profit,0
Detroit,http://www.edgeone.com,"$25,000,001 to $100,000,000",Private,0
Parker,https://www.coloradogolfclub.com/,"$7,500,001 to $25,000,000",Non Profit,0
Brooklyn,https://ultimatecareny.com/,"$500,001 to $7,500,000",Private,1
Washington,http://energicitycorp.com/,"$1 to $500,000",Non Profit,0
New Brighton,http://www.phraxis.com,Below $1,Private,0
Norfolk,http://www.bnaiisrael.org,"$1 to $500,000",Private,0
Wilmington,https://worldtravelholdings.com/,"$25,000,001 to $100,000,000",Non Profit,0
Daytona Beach,http://homeinstead.com,"$500,001 to $7,500,000",Private,0
Delray Beach,https://healthcareappraisers.com/,"$7,500,001 to $25,000,000",Private,1
Magnolia,https://southernaluminum.com/,"$7,500,001 to $25,000,000",Private,0
San Diego,http://www.nucleusbiologics.com,"$500,001 to $7,500,000",Private,0
Bridgewater Township,https://www.condorcapital.com/,Undefined,Private,0
South Bend,https://jpu.edu/,Undefined,Private,0
Fort Lauderdale,https://www.aimpointpension.com/,Below $1,Other,0
King of Prussia,http://www.paracap.com,"$7,500,001 to $25,000,000",Private,0
Seattle,http://www.ctfusion.net,"$500,001 to $7,500,000",Private,0
Berkeley,https://www.catenabiosciences.com/,"$1 to $500,000",Private,0
Irwindale,http://www.firstrescueambulance.com/,Undefined,Private,0
Boston,https://www.humanity.health/,"$1 to $500,000",Private,0
Huron,http://firelandsscientific.com,"$7,500,001 to $25,000,000",Private,0
Troy,http://www.lakeviewlend.com,Undefined,Private,0
Oxnard,https://www.haascnc.com/index.html,Below $1,Private,1
Portland,http://nova-analyticlabs.com,Undefined,Non Profit,0
San Diego,https://pilotpowergroup.com/,"$25,000,001 to $100,000,000",Private,0
Des Moines,https://www.tmctrans.com/,Below $1,Private,0
Lisle,https://www.gocgo.com/,"$7,500,001 to $25,000,000",Private,1
Los Angeles,http://www.essentialmanagementla.com,Undefined,Private,0
Morrisville,https://www.abcbail.com/,Undefined,Private,0
New York,http://materials.energy,Below $1,Private,0
Georgetown,http://sumtimeinc.com,Undefined,Private,0
Waucoma,https://lynch-companies.com/,Undefined,Private,1
San Diego,https://sdpride.org/,Undefined,Private,0
Odessa,https://eaglesgolf.com/,"$500,001 to $7,500,000",Private,0
Seattle,https://goodtherapeutics.com/,Below $1,Private,0
Chandler,https://www.rocksolidconcrete.com/,"$25,000,001 to $100,000,000",Private,0
West Fargo,http://www.ihryins.com,"$1 to $500,000",Private,0
Los Angeles,https://11med.com/,Undefined,Private,0
Port Allen,http://www.hllaws.com,"$500,001 to $7,500,000",Private,0
Scottsdale,http://www.namarchador.org,Undefined,Private,0
